AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,5730,8,2.142,1.19,,,77.08,160320,16.9,28.68,34.8,47.35,74.47,,59640,72390,98480,154890,,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,1190,18.3,0.443,0.66,,,40.38,84000,4.2,26.4,31.42,37.1,48.74,58.87,54900,65340,77160,101390,122450,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2054,Financial Risk Specialists,detailed,1090,9.7,0.407,1.12,,,54.62,113610,2.9,33.15,38.14,49.3,64.49,79.14,68960,79320,102540,134130,164610,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,550,16.5,0.204,0.49,,,48.46,100790,7.2,28.29,35.55,38.33,59.41,77.64,58830,73950,79730,123580,161480,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,360,10.6,0.136,0.74,,,32.04,66630,5.5,22.23,23.09,27.19,34.65,41.12,46230,48020,56550,72070,85530,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,3940,5.6,1.471,0.7,,,45.84,95350,5.1,18.97,24.54,34.52,50.77,86.07,39450,51030,71800,105610,179020,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,570,0.4,0.211,0.64,,,31.74,66010,0.3,18.95,22.32,29.81,37.42,52.83,39420,46430,62000,77830,109890,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,980,23.5,0.367,0.68,,,27.3,56790,4.8,16.05,18.29,21.79,32.85,49.09,33380,38050,45330,68330,102100,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-2099,"Financial Specialists, All Other",detailed,4440,2.4,1.659,2.05,,,50.86,105780,0.9,26.62,35.16,47.85,62.82,78.22,55370,73130,99530,130670,162700,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,13800,5.7,5.153,1.57,,,56.95,118460,1.5,32.43,40.45,53.42,69.59,83.9,67460,84140,111100,144740,174510,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,7890,16.2,2.947,2.55,,,66.44,138180,2.2,37.79,49.31,64.49,81.79,98.33,78600,102560,134130,170110,204530,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,2310,5.4,0.862,3.72,,,68.54,142570,1.4,42.98,55.64,70,82.72,88.22,89400,115730,145600,172060,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,8670,5.8,3.238,3.1,,,49.33,102600,2.5,27.88,34.36,45.73,58.79,83.16,57990,71460,95110,122280,172970,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,10820,6.8,4.043,0.89,,,32.02,66590,1.6,20.28,23.72,29.54,37.17,46.8,42180,49340,61450,77310,97350,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,6760,5.6,2.524,2.2,,,73,151840,1.6,44.64,55.04,69.37,86.61,100.39,92850,114480,144280,180140,208810,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,1790,9,0.669,1.33,,,56.61,117750,2.5,30.55,40.16,54.71,69.22,80.63,63540,83520,113810,143980,167720,,
